21.85;22.32;21.85;22.09;19103;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;+1;0;0;0;0

22;22.16;21.82;21.91;32938;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-1;0;0;0;0

21.95;22.21;21.9;22.04;24391;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-1;0;0;0;0

21.78;22.1;21.74;22.01;7352;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;+1;0;0;0;0

22.04;22.07;21.65;22.05;22588;0.26;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-1;0;0;0;0

21.6;22.15;21.6;21.96;20712;-0.44;0.26;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;+1;0;0;0;0

21.7;21.83;21.34;21.7;26781;0.10;-0.44;0.26;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-1;0;0;0;0

21.52;21.93;21.38;21.52;31716;-0.18;0.10;-0.44;0.26;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;-1;0;0;0;0

20.75;21.58;20.73;21.58;36846;-0.77;-0.18;0.10;-0.44;0.26;-0.17;-0.05;0.15;-0.34;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;-1;0;0;0;0

